0,113
1,109
1,110
102,104
103,104
104,8
1,111
3,112
3,9
8,10
10,11
8,9
9,11
11,12
10,12
12,16
12,14
11,13
13,14
14,44
13,45
15,48
48,45
48,49
45,54
49,54
49,50
50,51
15,46
46,51
50,55
54,55
55,63
54,63
55,57
57,60
51,52
52,57
52,58
58,60
60,64
64,105
105,63
46,47
47,59
59,84
84,83
59,81
81,83
81,82
83,93
93,94
84,62
93,91
91,92
91,78
78,106
80,106
80,62
61,80
61,107
107,62
62,64
61,34
34,37
34,35
33,34
33,36
33,29
29,30
30,31
28,30
28,38
38,39
38,40
40,43
40,42
40,41
27,28
22,27
21,22
20,22
19,20
18,20
17,18
12,18
27,6
6,23
23,24
24,108
108,26
24,25
25,29
25,32
32,65
65,70
69,70
70,71
71,72
66,72
65,66
72,74
74,76
74,68
66,67
67,68
68,32
67,75
75,26
75,77
26,77
77,78
26,89
89,87
85,89
85,23
85,95
95,96
95,90
90,6
90,5
5,7
7,10
7,8
2,5
2,96
2,4
4,96
4,99
99,97
97,98
99,100
100,101
2,109
104,110
3,111
15,112
113,114
114,1
16,17
17,41
